"his"|"maes_serv"|"perc_salida_leq_nq"
"500021"|"CTO"|4.83
"500021"|"CMF"|7.62
"440048"|"CGD"|6.86
"440048"|"TRA"|12.65
"220054"|"GIN"|5.83
"440048"|"URO"|5.3
"220015"|"ACV"|9.48
"500153"|"GIN"|10.08
"220054"|"ORL"|9.84
"500153"|"ORL"|8.27
"500016"|"CTO"|2.07
"500074"|"DER"|0.0
"500016"|"GIN"|8.27
"500016"|"ORL"|5.97
"500021"|"GIN"|4.48
"440048"|"OFT"|7.64
"500021"|"ORL"|5.38
"440012"|"DER"|5.19
"500016"|"OFT"|5.39
"500021"|"OFT"|7.74
"500074"|"ACV"|3.44
"220054"|"URO"|7.44
"220054"|"CGD"|5.47
"440048"|"GIN"|4.11
"500153"|"CGD"|7.96
"500153"|"TRA"|7.07
"220054"|"TRA"|9.24
"500153"|"URO"|5.59
"440048"|"ORL"|7.55
"500055"|"NRC"|5.47
"220015"|"DER"|8.7
"500016"|"DER"|3.43
"220015"|"OFT"|3.92
"500055"|"TRA"|7.35
"500055"|"CGD"|7.39
"500055"|"URO"|7.4
"440012"|"GIN"|13.82
"440012"|"ORL"|10.23
"500021"|"DER"|100.0
"440012"|"CGD"|5.29
"440012"|"URO"|5.45
"500016"|"ACV"|6.96
"500074"|"OFT"|7.22
"440012"|"TRA"|8.72
"500021"|"ACV"|6.13
"500021"|"CCA"|2.92
"500055"|"DER"|4.55
"500021"|"URO"|6.32
"500016"|"TRA"|10.71
"500021"|"CGD"|7.14
"500021"|"TRA"|11.11
"500016"|"CGD"|8.49
"500016"|"URO"|4.53
"500021"|"CPE"|4.77
"500153"|"OFT"|4.8
"220054"|"OFT"|2.91
"500074"|"CGD"|12.23
"440012"|"OFT"|10.6
"440048"|"DER"|7.32
"220015"|"ORL"|6.35
"500074"|"TRA"|3.89
"220015"|"GIN"|9.19
"500074"|"URO"|0.0
"500055"|"OFT"|4.5
"500074"|"GIN"|6.41
"500021"|"CPL"|9.32
"220015"|"CGD"|6.89
"220015"|"TRA"|6.85
"500074"|"ORL"|10.96
"500016"|"NRC"|15.6
"220015"|"URO"|5.54
"500021"|"NRC"|9.15
"220054"|"DER"|3.35
"500153"|"DER"|4.35
"999"|"CPL"|9.32
"999"|"NRC"|11.74
"999"|"URO"|6.09
"999"|"TRA"|9.83
"999"|"CGD"|7.37
"999"|"CPE"|4.77
"999"|"ACV"|5.8
"999"|"CCA"|2.92
"999"|"DER"|3.95
"999"|"GIN"|6.32
"999"|"ORL"|6.61
"999"|"OFT"|6.14
"999"|"CTO"|4.11
"999"|"CMF"|7.62
